X,NULL,NULL1,Y
1054, , 527    , 0      
1055, , 0      , 150    
1056, , 528    , 0      
1057, , 0      , 147    
1058, , 529    , 0      
1059, , 0      , 150    
1060, , 530    , 0      
1061, , 0      , 150    
1062, , 531    , 0      
1063, , 0      , 147    
1064, , 532    , 0      
1065, , 0      , 150    
1066, , 533    , 0      
1067, , 0      , 150    
1068, , 534    , 0      
1069, , 0      , 147    
1070, , 535    , 0      
1071, , 0      , 147    
1072, , 536    , 0      
1073, , 0      , 147    
1074, , 537    , 0      
1075, , 0      , 150    
1076, , 538    , 0      
1077, , 0      , 144    
1078, , 539    , 0      
1079, , 0      , 147    
1080, , 540    , 0      
1081, , 0      , 150    
1082, , 541    , 0      
1083, , 0      , 147    
1084, , 542    , 0      
1085, , 0      , 147    
1086, , 543    , 0      
1087, , 0      , 150    
1088, , 544    , 0      
1089, , 0      , 150    
1090, , 545    , 0      
1091, , 0      , 147    
1092, , 546    , 0      
1093, , 0      , 147    
1094, , 547    , 0      
1095, , 0      , 147    
1096, , 548    , 0      
1097, , 0      , 150    
1098, , 549    , 0      
1099, , 0      , 150    
1100, , 550    , 0      
1101, , 0      , 147    
1102, , 551    , 0      
1103, , 0      , 147    
1104, , 552    , 0      
1105, , 0      , 147    
1106, , 553    , 0      
1107, , 0      , 150    
1108, , 554    , 0      
1109, , 0      , 150    
1110, , 555    , 0      
1111, , 0      , 144    
1112, , 556    , 0      
1113, , 0      , 141    
1114, , 557    , 0      
1115, , 0      , 144    
1116, , 558    , 0      
1117, , 0      , 144    
1118, , 559    , 0      
1119, , 0      , 138    
1120, , 560    , 0      
1121, , 0      , 141    
1122, , 0      , 0      
1123, , 0      , 158    
1124, , 1      , 0      
1125, , 0      , 155    
1126, , 2      , 0      
1127, , 0      , 158    
1128, , 3      , 0      
1129, , 0      , 158    
1130, , 4      , 0      
1131, , 0      , 158    
1132, , 5      , 0      
1133, , 0      , 158    
1134, , 6      , 0      
1135, , 0      , 153    
1136, , 7      , 0      
1137, , 0      , 141    
1138, , 8      , 0      
1139, , 0      , 130    
1140, , 9      , 0      
1141, , 0      , 110    
1142, , 10     , 0      
1143, , 0      , 102    
1144, , 11     , 0      
1145, , 0      , 85     
1146, , 12     , 0      
1147, , 0      , 48     
1148, , 13     , 0      
1149, , 0      , 17     
1150, , 14     , 0      
1151, , 0      , 93     
1152, , 15     , 0      
1153, , 0      , 93     
1154, , 16     , 0      
1155, , 0      , 93     
1156, , 17     , 0      
1157, , 0      , 116    
1158, , 18     , 0      
1159, , 0      , 121    
1160, , 19     , 0      
1161, , 0      , 119    
1162, , 20     , 0      
1163, , 0      , 138    
