X,Y
1345, 113    
1347, 102    
1349, 113    
1351, 99     
1353, 85     
1355, 85     
1357, 93     
1359, 107    
1361, 87     
1363, 87     
1365, 90     
1367, 85     
1369, 70     
1371, 76     
1373, 70     
1375, 56     
1377, 59     
1379, 59     
1381, 51     
1383, 53     
1385, 51     
1387, 34     
1389, 34     
1391, 34     
1393, 28     
1395, 25     
1397, 25     
1399, 25     
1401, 19     
1403, 19     
1405, 19     
1407, 14     
1409, 5      
1411, 2      
1413, 2      
1415, 5      
1417, 5      
1419, 2      
1421, 2      
1423, 2      
1425, 17     
1427, 25     
1429, 17     
1431, 19     
1433, 19     
1435, 17     
1437, 17     
1439, 19     
1441, 14     
1443, 8      
1445, 8      
1447, 8      
1449, 8      
1451, 8      
1453, 11     
1455, 11     
1457, 11     
1459, 11     
1461, 11     
1463, 11     
1465, 8      
1467, 11     
1469, 11     
1471, 11     
1473, 11     
1475, 19     
1477, 19     
1479, 14     
1481, 17     
1483, 17     
1485, 11     
1487, 11     
1489, 11     
1491, 8      
1493, 8      
1495, 8      
1497, 8      
1499, 8      
1501, 8      
1503, 8      
1505, 8      
1507, 5      
1509, 11     
1511, 11     
1513, 5      
1515, 8      
1517, 11     
1519, 11     
1521, 11     
1523, 11     
1525, 11     
1527, 14     
1529, 14     
1531, 14     
1533, 11     
1535, 11     
1537, 17     
1539, 17     
1541, 14     
1543, 14     
1545, 11     
1547, 14     
1549, 11     
1551, 11     
1553, 11     
1555, 11     
1557, 11     
1559, 8      
1561, 11     
1563, 8      
1565, 8      
1567, 11     
1569, 8      
1571, 8      
1573, 8      
1575, 8      
1577, 8      
1579, 8      
1581, 8      
1583, 8      
1585, 8      
1587, 8      
1589, 11     
1591, 8      
1593, 8      
1595, 11     
1597, 11     
1599, 11     
1601, 11     
1603, 8      
1605, 8      
1607, 11     
1609, 11     
1611, 8      
1613, 8      
1615, 8      
1617, 8      
1619, 11     
1621, 11     
1623, 11     
1625, 8      
1627, 8      
1629, 11     
1631, 11     
1633, 11     
1635, 8      
1637, 8      
1639, 8      
1641, 11     
1643, 11     
1645, 8      
1647, 11     
1649, 11     
1651, 11     
1653, 8      
1655, 11     
1657, 11     
1659, 11     
1661, 11     
1663, 11     
1665, 11     
1667, 8      
1669, 11     
1671, 11     
1673, 8      
1675, 8      
1677, 8      
1679, 11     
1681, 11     
1683, 8      
1685, 11     
1687, 5      
1689, 11     
1691, 11     
1693, 11     
1695, 8      
1697, 8      
1699, 14     
1701, 11     
1703, 11     
1705, 14     
1707, 11     
1709, 11     
1711, 11     
1713, 8      
1715, 8      
1717, 11     
1719, 11     
1721, 11     
1723, 8      
1725, 8      
1727, 11     
1729, 11     
1731, 14     
1733, 14     
1735, 11     
1737, 11     
1739, 14     
1741, 14     
1743, 11     
1745, 11     
1747, 11     
1749, 5      
1751, 11     
1753, 14     
1755, 11     
1757, 11     
1759, 11     
1761, 11     
1763, 8      
1765, 8      
1767, 8      
1769, 8      
1771, 8      
1773, 8      
1775, 11     
1777, 11     
1779, 14     
1781, 17     
1783, 17     
1785, 17     
1787, 19     
1789, 22     
1791, 22     
1793, 28     
1795, 25     
1797, 28     
1799, 31     
1801, 51     
1803, 62     
1805, 56     
1807, 53     
1809, 59     
1811, 59     
1813, 70     
1815, 70     
1817, 73     
1819, 90     
1821, 85     
1823, 70     
1825, 70     
1827, 70     
1829, 68     
1831, 59     
1833, 59     
1835, 65     
1837, 65     
